Reset at time             50000000
Test case 1: Reset operation
Time=           175000000 	| i_data=  0 	| FIFO[          0]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          2725000000 	| i_data= 30 	| FIFO[         15]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          2775000000 	| i_data= 30 	| FIFO[         16]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          2825000000 	| i_data= 30 	| FIFO[         17]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          2875000000 	| i_data= 30 	| FIFO[         18]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          2925000000 	| i_data= 30 	| FIFO[         19]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          2975000000 	| i_data= 30 	| FIFO[         20]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          3025000000 	| i_data= 30 	| FIFO[         21]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          3075000000 	| i_data= 30 	| FIFO[         22]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          3125000000 	| i_data= 30 	| FIFO[         23]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          3175000000 	| i_data= 30 	| FIFO[         24]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          3225000000 	| i_data= 30 	| FIFO[         25]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          3275000000 	| i_data= 30 	| FIFO[         26]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          3325000000 	| i_data= 30 	| FIFO[         27]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          3375000000 	| i_data= 30 	| FIFO[         28]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          3425000000 	| i_data= 30 	| FIFO[         29]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Time=          3475000000 	| i_data= 30 	| FIFO[         30]= 15 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
Test case 4: FIFO read and write operation
Time=          3525000000 	| i_data=  0 	| FIFO[          0]= 15 	|  ptr_rd=0 	| ptr_wr=1 	| o_full=0 	| o_empty=0 	|
Time=          3575000000 	| i_data=  1 	| FIFO[          0]=  0 	|  ptr_rd=1 	| ptr_wr=2 	| o_full=0 	| o_empty=0 	|
Time=          3625000000 	| i_data=  2 	| FIFO[          1]=  1 	|  ptr_rd=2 	| ptr_wr=3 	| o_full=0 	| o_empty=0 	|
Time=          3675000000 	| i_data=  3 	| FIFO[          2]=  2 	|  ptr_rd=3 	| ptr_wr=4 	| o_full=0 	| o_empty=0 	|
Time=          3725000000 	| i_data=  4 	| FIFO[          3]=  3 	|  ptr_rd=4 	| ptr_wr=5 	| o_full=0 	| o_empty=0 	|
Time=          3775000000 	| i_data=  5 	| FIFO[          4]=  4 	|  ptr_rd=5 	| ptr_wr=6 	| o_full=0 	| o_empty=0 	|
Time=          3825000000 	| i_data=  6 	| FIFO[          5]=  5 	|  ptr_rd=6 	| ptr_wr=7 	| o_full=0 	| o_empty=0 	|
Time=          3875000000 	| i_data=  7 	| FIFO[          6]=  6 	|  ptr_rd=7 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          3925000000 	| i_data=  8 	| FIFO[          7]=  7 	|  ptr_rd=0 	| ptr_wr=1 	| o_full=0 	| o_empty=0 	|
Time=          3975000000 	| i_data=  9 	| FIFO[          8]=  8 	|  ptr_rd=1 	| ptr_wr=2 	| o_full=0 	| o_empty=0 	|
Time=          4025000000 	| i_data= 10 	| FIFO[          9]=  9 	|  ptr_rd=2 	| ptr_wr=3 	| o_full=0 	| o_empty=0 	|
Time=          4075000000 	| i_data= 11 	| FIFO[         10]= 10 	|  ptr_rd=3 	| ptr_wr=4 	| o_full=0 	| o_empty=0 	|
Time=          4125000000 	| i_data= 12 	| FIFO[         11]= 11 	|  ptr_rd=4 	| ptr_wr=5 	| o_full=0 	| o_empty=0 	|
Time=          4175000000 	| i_data= 13 	| FIFO[         12]= 12 	|  ptr_rd=5 	| ptr_wr=6 	| o_full=0 	| o_empty=0 	|
Time=          4225000000 	| i_data= 14 	| FIFO[         13]= 13 	|  ptr_rd=6 	| ptr_wr=7 	| o_full=0 	| o_empty=0 	|
Time=          4275000000 	| i_data= 15 	| FIFO[         14]= 14 	|  ptr_rd=7 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          4325000000 	| i_data= 16 	| FIFO[         15]= 15 	|  ptr_rd=0 	| ptr_wr=1 	| o_full=0 	| o_empty=0 	|
Time=          4375000000 	| i_data= 17 	| FIFO[         16]= 16 	|  ptr_rd=1 	| ptr_wr=2 	| o_full=0 	| o_empty=0 	|
Time=          4425000000 	| i_data= 18 	| FIFO[         17]= 17 	|  ptr_rd=2 	| ptr_wr=3 	| o_full=0 	| o_empty=0 	|
Time=          4475000000 	| i_data= 19 	| FIFO[         18]= 18 	|  ptr_rd=3 	| ptr_wr=4 	| o_full=0 	| o_empty=0 	|
Time=          4525000000 	| i_data= 20 	| FIFO[         19]= 19 	|  ptr_rd=4 	| ptr_wr=5 	| o_full=0 	| o_empty=0 	|
Time=          4575000000 	| i_data= 21 	| FIFO[         20]= 20 	|  ptr_rd=5 	| ptr_wr=6 	| o_full=0 	| o_empty=0 	|
Time=          4625000000 	| i_data= 22 	| FIFO[         21]= 21 	|  ptr_rd=6 	| ptr_wr=7 	| o_full=0 	| o_empty=0 	|
Time=          4675000000 	| i_data= 23 	| FIFO[         22]= 22 	|  ptr_rd=7 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          4725000000 	| i_data= 24 	| FIFO[         23]= 23 	|  ptr_rd=0 	| ptr_wr=1 	| o_full=0 	| o_empty=0 	|
Time=          4775000000 	| i_data= 25 	| FIFO[         24]= 24 	|  ptr_rd=1 	| ptr_wr=2 	| o_full=0 	| o_empty=0 	|
Time=          4825000000 	| i_data= 26 	| FIFO[         25]= 25 	|  ptr_rd=2 	| ptr_wr=3 	| o_full=0 	| o_empty=0 	|
Time=          4875000000 	| i_data= 27 	| FIFO[         26]= 26 	|  ptr_rd=3 	| ptr_wr=4 	| o_full=0 	| o_empty=0 	|
Time=          4925000000 	| i_data= 28 	| FIFO[         27]= 27 	|  ptr_rd=4 	| ptr_wr=5 	| o_full=0 	| o_empty=0 	|
Time=          4975000000 	| i_data= 29 	| FIFO[         28]= 28 	|  ptr_rd=5 	| ptr_wr=6 	| o_full=0 	| o_empty=0 	|
Time=          5025000000 	| i_data= 30 	| FIFO[         29]= 29 	|  ptr_rd=6 	| ptr_wr=7 	| o_full=0 	| o_empty=0 	|
Time=          5075000000 	| i_data= 31 	| FIFO[         30]= 30 	|  ptr_rd=7 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
- tb_fifo.sv:109: Verilog $finish
